店名,捷運站,地址,官網,wifi 穩定,價格便宜,咖啡好喝,安靜程度,插座,有無限時,有賣單品,有賣正餐,有賣甜點,週一,週三,週二,週五,週六,週四,週日,,
艸地掛,,新北市汐止區建成路178巷6號1樓,https://www.facebook.com/caffeterrataipei/?modal=admin_todo_tour,4,3.5,5,5,Yes,No,Yes,No,Yes,未營業,未營業,未營業,11:00 - 20:00,11:00 - 20:00,11:00 - 18:00,11:00 - 18:00,,
Mase Cafe 咖啡專門店,忠孝復興,台北市八德路二段300巷38號,https://www.facebook.com/160578991299565/,5,5,5,4,Yes,No,Yes,Yes,Yes,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,,
Hope tree希望樹咖啡館,,新北市三峽區大德路200 號,https://www.facebook.com/HopeTreeCoffee/,5,5,5,5,Yes,No,Yes,Yes,No,09:30 - 21:00,09:30 - 21:00,09:30 - 21:00,09:30 - 21:00,09:30 - 21:00,09:30 - 21:00,09:30 - 21:00,,
Irga 就此耶加烘豆坊（自家烘焙咖啡）,,台北市大安區麗水街7巷8號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
歐豆麥,,新北市金山區仁愛路3號,https://www.facebook.com/odovai24082461/,5,5,5,5,Yes,No,No,No,Yes,12:00 - 21:00,未營業,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,,
小小蔬房,,台北市漢口街二段125號,https://www.facebook.com/xiaoxiaoplace/,5,4,5,3,,No,Yes,,Yes,未營業,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,,
三宜咖啡館 Triple E Cafe,,台北市北投區大業路719-1號1樓（捷運新北投站）,https://m.facebook.com/tripleEcafe/?locale2=zh_TW,4.5,2.5,3.5,3.5,,,,Yes,Yes,11:00 - 19:00,未營業,11:00 - 19:00,11:00 - 19:00,09:00 - 19:00,未營業,09:00 - 19:00,,
青鳥,,青鳥Bleu&Book 100台北市中山區八德路一段1號 02 2341 8865 https://goo.gl/maps/gd41pJ3XnGH2,暫無資料,5,3,5,5,,,,,,,,,,,,,,
不如咖啡BLUBLU Kafe,徐匯中學站,新北市三重區集英路126號,https://www.facebook.com/BLU-BLU-Kafe-%E4%B8%8D%E5%A6%82%E5%92%96%E5%95%A1-958742307501571/,5,4,4,4,Yes,No,,Yes,Yes,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,,
安提.司朵,,台北市內湖區成功路五段402號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
窩心房Sweet-Art Coffee,,新北市新莊區昌平街59巷9號1 樓,https://www.facebook.com/%E7%AA%A9%E5%BF%83-%E6%88%BF-Sweet-Art-Coffee-1685060255122933/,4,4,3,1,Yes,No,Yes,Yes,Yes,11:00 - 21:00,11:00 - 21:00,未營業,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,,
TRIBU CAFE (森優咖啡）,,110台北市信義區崇德街74號,https://www.facebook.com/tribucafe74/,5,5,5,5,,No,Yes,No,Yes,未營業,11:00 - 21:00,11:00 - 21:00,10:30 - 21:00,10:30 - 21:00,11:00 - 21:00,10:30 - 21:00,,
真的咖啡 Zhen De Coffee,,台北市文山區萬隆街19巷1號,https://www.facebook.com/pg/ZHENDECOFFEE,5,3,3,4,Yes,No,No,Yes,Yes,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,,
男朋友•家,,台北市中山區建國北路二段64巷15號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
Cafe Fundoor 咖啡方桌,大安站4號出口步5分,台北市大安區大安路二段55號,https://www.facebook.com/CafeFundoor/,5,5,4,2,Yes,No,Yes,No,Yes,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 21:00,09:00 - 21:00,08:00 - 19:00,09:00 - 21:00,,
WeiCoffee.,,台北市中山區四平街89號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
牧童咖啡 mutto coffee(福德店),,新北市汐止區福德一路106巷9號,https://www.facebook.com/muttocoffee,4.5,4.5,4.5,4.5,Yes,No,,Yes,Yes,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,09:00 - 21:00,11:00 - 21:00,09:00 - 21:00,,
BRICK WORKS TAIPEI (花博店),,台北市中山區玉門街1號(MAJI市場廣場S17專櫃),暫無資料,5,3.5,5,3,Yes,No,Yes,,Yes,,,,,,,,,
Amandier cafe 雅蒙蒂創意飲食 新生店,,台北市中山區新生北路一段66號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
麥兜咖啡,,新北市蘆洲區中原路1-3號,https://www.facebook.com/mycoffeehouseluzhou,5,5,5,5,Yes,No,Yes,No,Yes,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,,
湛盧咖啡(忠孝店),忠孝復興,台北市大安區忠孝東路四段50號2F,zhanlu-coffee.com,4.5,2.5,3.5,3,Yes,No,Yes,No,Yes,12:00 - 23:00,12:00 - 23:00,12:00 - 23:00,12:00 - 23:00,12:00 - 23:00,12:00 - 23:00,12:00 - 23:00,,
A8 Café & Gallery,,台北市大安區和平東路三段67巷8號,暫無資料,4,4,4,5,,,,,,,,,,,,,,
豆BAR,景安,新北市中和區南華路27號,https://www.facebook.com/beanbarcoffee/,5,5,4,4,Yes,No,Yes,No,Yes,未營業,13:00 - 23:00,13:00 - 23:00,13:00 - 23:00,13:00 - 23:00,13:00 - 23:00,13:00 - 23:00,,
厭世會社,,台北市中正區羅斯福路四段40巷1-2號一樓,http://facebook.com/mis.society,5,5,5,5,Yes,No,Yes,Yes,Yes,13:00 - 00:00,13:00 - 00:00,13:00 - 00:00,13:00 - 00:00,13:00 - 00:00,13:00 - 00:00,13:00 - 00:00,,
路易莎樂群店,,台北市樂群二路150號,樂群路易莎直營店,4,3,3,2,No,No,Yes,No,Yes,07:15 - 19:15,07:15 - 19:15,07:15 - 19:15,07:15 - 19:15,07:15 - 19:15,07:15 - 19:15,07:15 - 19:15,,
未央咖啡店,"科技大樓站步7分/公車站""鳳雛公園""步1分, ""臥龍街""步3分/YouBike""成功國宅""站步1分",台北市大安區四維路208巷10號,https://www.facebook.com/BCmidnightcafe/,5,4,5,4,Yes,No,,Yes,Yes,12:30 - 01:00,12:30 - 01:00,12:30 - 01:00,12:30 - 01:00,12:30 - 01:00,12:30 - 01:00,12:30 - 01:00,,
黑金魚咖啡館,,台北市北投區育仁路8巷3號,https://www.facebook.com/%E9%BB%91%E9%87%91%E9%AD%9A%E5%92%96%E5%95%A1%E9%A4%A8-724948174284729/,4,5,5,3,No,No,Yes,No,Yes,未營業,07:30 - 19:30,07:30 - 19:30,07:30 - 19:30,07:30 - 19:30,07:30 - 19:30,07:30 - 18:00,,
COFFEE RUN 古亭店,,台北市中正區同安街45號,暫無資料,2,4.5,4.5,3.5,Yes,,Yes,No,Yes,,,,,,,,,
老派的約會,,新北市新店區北新路二段40號,https://m.facebook.com/inoldpies/,4,3,3,2,,,No,Yes,Yes,10:30 - 21:30,10:30 - 21:30,10:30 - 21:30,10:30 - 21:30,10:30 - 21:30,10:30 - 21:30,10:30 - 21:30,,
草泥cafe,六張犁,台北市大安區106台北市大安區樂業街17號,https://www.facebook.com/WeedonMudCafe/,5,4.5,5,5,Yes,,Yes,Yes,Yes,11:30 - 21:00,11:30 - 21:00,11:30 - 21:00,11:30 - 21:00,10:00 - 19:00,11:30 - 21:00,10:00 - 19:00,,
Cafe Sind,忠孝新生,台北市中正區新生南路一段56巷8號,https://www.facebook.com/CoffeeSind/?fref=ts,5,4,5,4,Yes,No,Yes,No,Yes,12:00 - 22:00,12:00 - 22:00,12:00 - 22:00,12:00 - 22:00,11:30 - 22:00,12:00 - 22:00,11:30 - 22:00,,
Coffee Buff,,台北市中山區大直街62巷8號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
Black Cafe 黑咖啡,,234新北市永和區大新街18號,暫無資料,4,4,4,4,,,,,,,,,,,,,,
威尼斯現烘咖啡,,新北市板橋區互助街5號,暫無資料,4,3.5,4,4,,,Yes,,,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,未營業,,
Sunday Morning 星期天早上,,台北市大安區樂業街70號,https://m.facebook.com/sunteabar/?ref=bookmarks,5,5,5,4,Yes,No,No,Yes,Yes,未營業,18:00 - 00:30,18:00 - 00:30,18:00 - 00:30,14:00 - 00:30,18:00 - 00:30,14:00 - 00:30,,
Strange Brew Coffe Roster 怪咖啡自家烘焙,六張犁捷運站,台北市安居街108巷20號1樓,https://www.facebook.com/strangebrewcoffeeroaster/,5,4,4,5,Yes,No,Yes,No,Yes,14:00 - 22:00,14:00 - 22:00,14:00 - 22:00,14:00 - 23:00,14:00 - 23:00,未營業,14:00 - 21:00,,
Joco Latte,,台北市民生東路三段88巷4號,https://www.facebook.com/JocoLatte/,4,3,5,5,Yes,No,Yes,No,Yes,未營業,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,10:30 - 22:00,12:00 - 21:00,10:30 - 22:00,,
溫古咖啡Wengu cafe,忠孝復興,106台北市大安區敦化南路一段160巷16號,https://www.facebook.com/wengucafe/,5,3,4,3,Yes,,Yes,Yes,Yes,13:00 - 21:30,13:00 - 21:30,13:00 - 21:30,13:00 - 21:30,12:00 - 21:30,13:00 - 21:30,12:00 - 21:30,,
米詩堤極北藍點,,石門區頭圍段八甲小段1-101號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
南美咖啡士林店,,台北市士林區文林路446號,暫無資料,4,4,5,3,No,No,Yes,No,Yes,,,,,,,,,
Cafe Walker,,臺北市信義區松勤街5號,暫無資料,5,5,4,3,No,No,,No,No,,,,,,,,,
翁林．林Caf'e,新埔站3號出口步2分,新北市板橋區民生路二段234巷24弄6號,https://www.facebook.com/wenglinlincafe/about/,5,4,4,4,Yes,,,Yes,Yes,11:00 - 21:00,11:00 - 21:00,未營業,11:00 - 21:00,10:00 - 21:00,11:00 - 21:00,10:00 - 21:00,,
Balcony 陽台 Café,大直,台北市中山區大直街34巷20號2F,https://www.facebook.com/balconycafe2F/,4,4,4,4.5,Yes,No,,,Yes,未營業,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,,
喬安拾豆咖啡 Gian 6 degrees Coffee,"大安站6號出口步4分/公車站""和安里""步2分/YoubBike""復興南路一段340巷口""站步3分, ""仁愛醫院""站步4分",台北市大安區復興南路一段279巷28號,https://www.facebook.com/6degress/,4,4,4,4,,,No,No,Yes,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,12:30 - 19:00,10:00 - 19:00,12:30 - 19:00,,
石尚自然探索屋 二子坪店,,新北市三芝區興華里車埕53-3號(遊客中心),暫無資料,5,3.5,5,4,,No,Yes,,,,,,,,,,,
COFFEE: CAPE,綠線-七張站,新北市新店區中正路332號,https://page.line.me/acb0672a,5,5,5,5,No,No,Yes,No,No,,,,,,,,,
希望種子咖啡工坊,,新北市新店區北新路二段24號,https://www.facebook.com/hopeseedcoffee/,5,4,5,5,Yes,No,Yes,No,Yes,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,13:00 - 18:00,,
OrigInn Space,,台北市大同區南京西路247號,https://www.facebook.com/OrigInnSpace/,5,3,4,5,Yes,,,,,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,,
白日夢TEA&CAFE,,新北市石門區阿里荖47之2號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
凱倫咖啡,,台北市中山北路二段65巷2弄5號,https://www.facebook.com/Karens-cafe-200979410361463/,5,5,3,5,Yes,No,,Yes,Yes,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,未營業,11:00 - 21:00,未營業,,
曼曼咖啡,,新北市淡水區英專路65巷14號,暫無資料,4,5,4,4,Yes,,No,,Yes,,,,,,,,,
塞特咖啡場所 coffee site,,新北市三重區文化南路8-2號,https://www.facebook.com/Coffee-Site-%E5%A1%9E%E7%89%B9-%E5%92%96%E5%95%A1%E5%A0%B4%E6%89%80-1810716089209843/?ref=py_c,5,5,4,4,,No,Yes,No,Yes,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,10:00 - 18:00,08:00 - 20:00,未營業,,
虹喬咖啡,圓山,台北市大同區庫倫街48號,暫無資料,4,5,5,4,,No,,,,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,未營業,,
19烘豆研究室,,台北市松山區民生東路五段175之1號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
Coffee & work,,台北市民生東路4段55巷3弄14號,https://www.facebook.com/coffeeandwork/,5,4,4.5,5,Yes,No,Yes,No,Yes,10:00 - 22:00,未營業,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,,
Cross Café克勞斯咖啡店,,106台北市大安區仁愛路四段91巷23號,暫無資料,5,3.5,3,3,Yes,,,Yes,Yes,,,,,,,,,
咖竅Cotcha Coffee 永春店,永春,No. 412-7忠孝東路五段信義區台北市110,暫無資料,1,3.5,2.5,1.5,No,Yes,Yes,Yes,Yes,,,,,,,,,
Ferrari coffee,捷運中山國小站,台北市中山區雙城街17巷10-1號,https://www.facebook.com/ferraris.coffee.1/,3,5,5,4,Yes,No,Yes,Yes,Yes,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,,
1315 coffee,,台北市信義區松隆路15號,https://www.facebook.com/1315coffee,5,4,4,5,,No,Yes,,Yes,11:00 - 20:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 20:00,,
加爾第咖啡(莊敬店),"台北101/世貿站2, 3號出口步10分/公車站""臺北醫學大學""''信義國中(莊敬)''步2分/YouBike""台北醫學大學""""台北市災害應變中心""站步4分",台北市信義區吳興街269巷1弄21號,https://www.facebook.com/KaldiCoffee1989JJ/,5,3,5,4,Yes,No,Yes,No,Yes,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,,
La Grotta,西門/小南門,台北市中正區中華路一段77號1樓,https://www.facebook.com/lagrottataipei,5,3,5,5,No,,Yes,No,Yes,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,未營業,13:00 - 22:00,,
自由51,,台北市文山區羅斯福路五段150巷59號1樓,https://www.facebook.com/pg/freedom51,5,4,4,5,Yes,No,Yes,Yes,Yes,12:00 - 00:00,12:00 - 00:00,12:00 - 00:00,12:00 - 00:00,12:00 - 00:00,12:00 - 00:00,12:00 - 00:00,,
MamiCoffee媽咪咖啡館,,111台北市士林區天母西路73號,https://www.facebook.com/mamicoffee/?ref=br_rs,4,3.5,4,4,Yes,,Yes,Yes,Yes,07:30 - 21:00,07:30 - 21:00,07:30 - 21:00,07:30 - 21:00,08:00 - 21:00,07:30 - 21:00,08:00 - 21:00,,
半路咖啡halfway cafe,"台電大樓站2號出口步5分/公車站""溫州街口""步3分, ""台電大樓""步4分/YouBike""捷運台電大樓站(2號出口)""站步6分, ""辛亥新生路口""站步7分",台北市大安區羅斯福路三段269巷51弄9號,https://www.facebook.com/%E5%8D%8A%E8%B7%AF%E5%92%96%E5%95%A1-766746760013130/,5,4,4,4,Yes,No,No,Yes,Yes,14:00 - 00:00,14:00 - 00:00,未營業,14:00 - 00:00,14:00 - 00:00,14:00 - 00:00,14:00 - 00:00,,
丹堤咖啡,,台北市大安區和平東路三段38號,暫無資料,2,3,3,2,,,,,,,,,,,,,,
好日子咖啡,,112台灣台北市北投區立農街二段293號,https://www.facebook.com/MDcafe293/,4,5,4,3.5,No,No,Yes,No,Yes,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,,
CLBC大船艦甲板咖啡館,,台北市松山區八德路四段123號,http://clbc.tw/flagshipcoworking,5,5,4,4,Yes,,,,,,,,,,,,,
台博咖啡館恐龍餐廳,,台北市中正區襄陽路25號,暫無資料,5,3.5,5,3,,,Yes,Yes,Yes,未營業,09:30 - 18:00,09:30 - 18:00,09:30 - 18:00,09:30 - 18:00,09:30 - 18:00,09:30 - 18:00,,
小紅帽咖啡Julius Meinl,,台北市大安區大安路一段170號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
老窩咖啡-林口仁愛店,,244新北市林口區仁愛路二段257號,暫無資料,5,4,5,5,Yes,No,Yes,No,Yes,,,,,,,,,
Here Caffe這兒咖啡,,台北市文山區新光路一段12號,https://www.facebook.com/here.caffe/,5,3.5,3,1,Yes,,No,Yes,Yes,11:30 - 21:00,11:30 - 21:00,11:30 - 21:00,11:30 - 21:00,11:30 - 21:00,11:30 - 21:00,11:30 - 21:00,,
George House,,台北市中山區松江路259巷33號1樓,暫無資料,4,3,4,3,Yes,,Yes,No,No,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,,
點點甜甜 Ten Ten Den Den,,新北市板橋區光正街45巷2弄2號,https://www.facebook.com/tentendenden/?fref=ts,4,4,4.5,2.5,No,,,No,Yes,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,,
兜麥咖啡,,新北市蘆洲區中原路一之三號一樓,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
布夏拉堤,,台北市內湖區康寧路一段76號,https://www.facebook.com/bucciaratica?fref=ts,4,4,4,5,Yes,,Yes,No,Yes,,,,,,,,,
中央公園咖啡館,"台電大樓站2號出口步5分, 公館站4號出口步7分/公車站""台電大樓""步2分/YouBike""捷運台電大樓站(2號出口)""站步5分, ""羅斯福新生南路口""站步6分",台北市中正區羅斯福路三段240巷3號,https://www.facebook.com/centralparkatTaipei/?fref=ts,5,4,4,5,Yes,,,Yes,Yes,12:30 - 22:00,12:30 - 22:00,12:30 - 22:00,12:30 - 22:00,12:00 - 22:00,12:30 - 22:00,12:00 - 21:00,,
爺茶 GRANDPA,,台北市中山區伊通街127-3號,https://www.facebook.com/GRANDPA.tea/,4,5,4,4,Yes,No,,No,Yes,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,未營業,10:00 - 22:00,未營業,,
boven cafe,,台北市復興南路一段107巷5弄18號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
小城外珈琲 Caffé CityNorth,捷運北門站3號出口,台北市大同區民樂街34號2樓,https://www.facebook.com/caffecitynorth/,5,4,5,4,Yes,No,Yes,No,Yes,12:00 - 19:00,12:00 - 19:00,未營業,12:00 - 19:00,12:00 - 19:00,12:00 - 19:00,12:00 - 19:00,,
Lagom拉革姆啡社,,台北市南京東路6段451巷49號,https://www.facebook.com/pages/biz/coffee_shop-%E5%8F%B0%E5%8C%97%E5%B8%82-114/Lagom%E6%8B%89%E9%9D%A9%E5%A7%86%E5%95%A1%E7%A4%BE-604104423270328/,4,3.5,4,4,,,,,,12:00 - 20:45,未營業,12:00 - 20:45,12:00 - 20:45,12:00 - 20:45,12:00 - 20:45,未營業,,
漸漸咖啡店,"善導寺站5號出口步9分, 忠孝新生站2號出口步10分/公車站""臺北商大(杭州)""""仁愛路二段""""濟南路二段""步2分, ""金山泰安街口""步4分/YouBike""濟南紹興路口""站步4分",台北市中正區銅山街3巷2號1樓,https://www.facebook.com/cafegugu/,5,4,5,5,Yes,,Yes,No,Yes,12:00 - 21:00,12:00 - 21:00,未營業,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,,
莉園商行,東門,臺北市中正區信義路二段79巷34號,https://www.facebook.com/%E8%8E%89%E5%9C%92%E5%95%86%E8%A1%8C-673209776058028/,4,2,5,4.5,No,No,Yes,No,No,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,,
滿滿咖啡,,台北市士林區承德路四段34號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
無名女孩的廚房,輔大站,新北市新莊區中正路516-34號,https://www.facebook.com/janedoeskitchen/,5,5,5,5,Yes,No,Yes,Yes,Yes,未營業,未營業,未營業,未營業,未營業,未營業,未營業,,
晴境易得,忠孝復興,台北市忠孝東路三段217巷2弄5號,https://www.facebook.com/pg/EIDOS.Cafe/about/?ref=page_internal,5,3.5,4,5,Yes,No,,Yes,Yes,10:45 - 19:00,10:45 - 19:00,10:45 - 19:00,10:45 - 19:00,10:45 - 19:00,10:45 - 19:00,未營業,,
The Antipodean Specialty Coffee,港墘站,台北市內湖區港墘路26巷4號,https://m.facebook.com/TheAntipodean/?locale2=zh_TW,5,3,5,3,Yes,,Yes,Yes,Yes,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 23:00,08:00 - 23:00,09:00 - 18:00,08:00 - 18:00,,
真鍋珈琲館,士林站2號出口步1分,台北市士林區文林路321號,https://www.facebook.com/ZGcafe/,5,3,3.5,4,Yes,,,,,09:00 - 02:00,09:00 - 02:00,09:00 - 02:00,09:00 - 03:00,09:00 - 03:00,09:00 - 02:00,09:00 - 02:00,,
小食糖 sugar bistro,東門,台北市中正區信義路二段181巷3號,https://www.facebook.com/sugar.bistro,4.5,3,4,3,Yes,No,Yes,Yes,Yes,10:30 - 19:30,10:30 - 19:30,10:30 - 19:30,10:30 - 19:30,10:30 - 19:30,未營業,10:30 - 19:30,,
一文咖啡,南京三民,台北市松山區光復北路120巷18號,https://www.facebook.com/PennyUniversityCoffee/,5,3.5,5,5,No,No,,,,,,,,,,,,
The Aroma,,台北市萬華區漢中街205號,https://www.facebook.com/thearoma/,5,3,5,4,,No,No,Yes,Yes,未營業,11:00 - 21:30,11:00 - 21:30,11:00 - 22:00,11:00 - 20:00,11:00 - 21:30,11:00 - 21:00,,
